cluster,food_natural_5,food_import_6,food_taste_7,food_make_import_8,brand_popular_9,packaging_12,packaging_13,packaging_14,packaging_15,packaging_16,packaging_17,packaging_18,packaging_19
0,4.04,2.67,4.36,2.45,3.63,3.47,3.36,3.85,3.69,3.28,3.17,4.04,3.37
1,4.51,3.89,4.51,3.94,4.54,4.27,4.1,4.54,4.51,4.19,4.26,4.76,4.29
